time_original,well,OD,isolate,well,hh,mm,ss,time_h
2.16:45:00,A1,0.3987,ATD 4B4,A1,2.16,45,0,2.91
2.17:00:00,A1,0.4003,ATD 4B4,A1,2.17,0,0,2.17
2.17:15:00,A1,0.3993,ATD 4B4,A1,2.17,15,0,2.42
2.17:30:00,A1,0.3995,ATD 4B4,A1,2.17,30,0,2.67
2.17:45:00,A1,0.3999,ATD 4B4,A1,2.17,45,0,2.92
2.18:00:00,A1,0.4005,ATD 4B4,A1,2.18,0,0,2.18
2.18:15:00,A1,0.3996,ATD 4B4,A1,2.18,15,0,2.43
2.18:30:00,A1,0.3997,ATD 4B4,A1,2.18,30,0,2.68
2.18:45:00,A1,0.3999,ATD 4B4,A1,2.18,45,0,2.93
2.19:00:00,A1,0.4003,ATD 4B4,A1,2.19,0,0,2.19
2.19:15:00,A1,0.401,ATD 4B4,A1,2.19,15,0,2.44
2.19:30:00,A1,0.4,ATD 4B4,A1,2.19,30,0,2.69
2.19:45:00,A1,0.4012,ATD 4B4,A1,2.19,45,0,2.94
2.20:00:00,A1,0.4016,ATD 4B4,A1,2.2,0,0,2.2
2.20:15:00,A1,0.4013,ATD 4B4,A1,2.2,15,0,2.45
2.20:30:00,A1,0.402,ATD 4B4,A1,2.2,30,0,2.7
2.20:45:00,A1,0.4017,ATD 4B4,A1,2.2,45,0,2.95
2.21:00:00,A1,0.4014,ATD 4B4,A1,2.21,0,0,2.21
2.21:15:00,A1,0.4016,ATD 4B4,A1,2.21,15,0,2.46
2.21:30:00,A1,0.4022,ATD 4B4,A1,2.21,30,0,2.71
2.21:45:00,A1,0.403,ATD 4B4,A1,2.21,45,0,2.96
2.22:00:00,A1,0.4025,ATD 4B4,A1,2.22,0,0,2.22
2.22:15:00,A1,0.4024,ATD 4B4,A1,2.22,15,0,2.47
2.22:30:00,A1,0.4024,ATD 4B4,A1,2.22,30,0,2.72
2.22:45:00,A1,0.4027,ATD 4B4,A1,2.22,45,0,2.97
2.23:00:00,A1,0.4042,ATD 4B4,A1,2.23,0,0,2.23
2.23:15:00,A1,0.4027,ATD 4B4,A1,2.23,15,0,2.48
2.23:30:00,A1,0.4044,ATD 4B4,A1,2.23,30,0,2.73
2.23:45:00,A1,0.4037,ATD 4B4,A1,2.23,45,0,2.98
3.00:00:00,A1,0.4054,ATD 4B4,A1,3,0,0,3
0:00:00,A2,0.1617,ATT 3A4,A2,0,0,0,0
0:15:00,A2,0.152,ATT 3A4,A2,0,15,0,0.25
0:30:00,A2,0.1507,ATT 3A4,A2,0,30,0,0.5
0:45:00,A2,0.1503,ATT 3A4,A2,0,45,0,0.75
1:00:00,A2,0.1513,ATT 3A4,A2,1,0,0,1
1:15:00,A2,0.1499,ATT 3A4,A2,1,15,0,1.25
